Year,Car_Prod,Car_Sales,Truck_Prod,Truck_Sales,Bus_Prod,Bus_Sales,JeepPickup_Prod,JeepPickup_Sales,Tractor_Prod,Tractor_Sales,TwoThreeWheeler_Prod,TwoThreeWheeler_Sales,Auto_Loans_BillionPKR
2006,170487.0,165965.0,4518.0,4273.0,825.0,927.0,21624.0,21471.0,48887.0,48802.0,520124.0,516640.0,97.78
2007,,,,,,,,,,,,,105.44
2010,,,,,,,,,,,,,64.2
2011,133972.0,127944.0,2901.0,2942.0,490.0,515.0,20025.0,18553.0,70770.0,69203.0,838665.0,835455.0,
2015,,,,,,,,,,,,,85.12
2016,179944.0,181145.0,5666.0,5550.0,1070.0,1017.0,36609.0,36534.0,34914.0,33986.0,1362096.0,1358643.0,111.96
2017,188936.0,185781.0,7712.0,7499.0,1118.0,1130.0,27795.0,27338.0,53975.0,54992.0,1632965.0,1630735.0,154.25
2018,217774.0,216786.0,9326.0,9331.0,803.0,762.0,42778.0,42006.0,71894.0,70887.0,1928757.0,1931340.0,193.6
2019,209255.0,207630.0,6035.0,5828.0,913.0,935.0,31978.0,33016.0,49902.0,50405.0,1782605.0,1781959.0,215.46
2020,94325.0,96455.0,2945.0,3088.0,532.0,559.0,15633.0,15507.0,32608.0,32727.0,1370417.0,1370005.0,211.11
2021,151794.0,151182.0,3808.0,3695.0,570.0,652.0,31073.0,30215.0,50751.0,50920.0,1902415.0,1903932.0,308.1
2022,226433.0,234180.0,5659.0,5802.0,661.0,696.0,44421.0,45087.0,58880.0,58947.0,1826467.0,1821885.0,367.85
2023,101984.0,96811.0,3074.0,3182.0,701.0,654.0,31333.0,30067.0,31726.0,30942.0,1185532.0,1186969.0,293.728
2024,79573.0,81577.0,2204.0,2187.0,419.0,454.0,21084.0,22250.0,45529.0,45484.0,1150090.0,1150112.0,230.501
